Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-11-14,The Hole,1998,https://boxd.it/yMZpt,2,,,2018-11-13
2018-12-15,Roma,2018,https://boxd.it/A2Wlz,5,,,2018-12-14
2019-01-23,Black Panther,2018,https://boxd.it/CsMFf,0.5,,,2019-01-22
2019-04-17,The Handmaiden,2016,https://boxd.it/GRoAL,5,,,2019-04-16
2019-08-22,Free Solo,2018,https://boxd.it/Ncf1N,4,,,2019-08-21
2019-09-30,Call Me by Your Name,2017,https://boxd.it/PdTyd,5,,,2019-08-22
2019-10-21,The Forest of Love,2019,https://boxd.it/QvHev,4,,,2019-10-20
2019-12-12,A Star Is Born,2018,https://boxd.it/TENWt,5,,,2019-12-10
2019-12-27,Uncut Gems,2019,https://boxd.it/UMLl1,5,,,2019-12-26
2020-01-20,Inception,2010,https://boxd.it/X8RZ9,4.5,,,2020-01-19
2020-04-06,Stalker,1979,https://boxd.it/14i8xR,,,,2020-04-06
2020-05-03,The Matrix Revolutions,2003,https://boxd.it/17AXYn,2.5,,,2020-05-02
2020-09-24,Maria Candelaria,1944,https://boxd.it/1mX8Pl,4,,,2020-09-23
2020-09-29,The Adventuress,1950,https://boxd.it/1nrkwl,4,,,2020-09-28
2021-01-03,Sound of Metal,2019,https://boxd.it/1yAmNl,3.5,Yes,,2021-01-02
2021-01-22,Meet the Fockers,2004,https://boxd.it/1BFeWh,3.5,,,2021-01-21
2021-07-25,The Hurt Locker,2008,https://boxd.it/219J91,4,,,2021-07-24
2022-01-15,The Tragedy of Macbeth,2021,https://boxd.it/2tNWhT,2,,,2022-01-14
2022-04-03,Gwendoline,1984,https://boxd.it/2IEesv,,,,2022-04-02
2022-08-31,Running with the Devil: The Wild World of John McAfee,2022,https://boxd.it/3bpFFR,3,,,2022-08-31
