Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-08-18,A list ,,https://boxd.it/3Qunw,

Position,Name,Year,URL,Description
1,Call Me by Your Name,2017,https://boxd.it/dYmm,
2,The Tree of Life,2011,https://boxd.it/1Zu8,A stunning mediation on love and time.
3,Cold War,2018,https://boxd.it/fEoc,"This is not our story. 
A beautiful yet equally tragic mediation on love. Inseparable lovers that simply do not work together.
The novel <i>The Mill On The Floss</i> is a very strong companion piece to this film."
4,Krisha,2015,https://boxd.it/ax4E,"A very difficult watch, but necessary for the character dynamics and themes. 
The idea of “heartbreak incarnate” and that kind of addictive personality is extremely powerful."
5,mother!,2017,https://boxd.it/dgRU,"The allegory is powerful, but the ideas on self-love are perhaps more important."
6,Blue Jay,2016,https://boxd.it/enEq,The pain from all the things that were left unsaid
7,La La Land,2016,https://boxd.it/a5fa,
