Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-11-14,The Hole,1998,https://boxd.it/yMZpt,2,,"Dear people that hated the pie eating scene from <i>A Ghost Story:</i>


<b>DO NOT WATCH THIS BORING ASS FILM</b>",,2018-11-13
2018-12-15,Roma,2018,https://boxd.it/A2Wlz,5,,"Easily one of the most poignant explorations into the depth of the experience of the individual. The movie flows peaceful and calming, merciless and unrelenting. (Random thought: Many people view film as an escape. This masterpiece drowns your senses in another reality— immersing you in an alternate truth. Planes thunder above Cleo’s head; Riots rip through the streets; Sofia’s family falls in pieces. Admidst the heartbreak, beauty hides in the mundane— piercing and engulfing every frame.)",,2018-12-14
2019-01-23,Black Panther,2018,https://boxd.it/CsMFf,0.5,,Notminated for Best Picture my ass!,,2019-01-22
2019-04-17,The Handmaiden,2016,https://boxd.it/GRoAL,5,,I get it and holy shit it makes me feel awful for loving this movie.,,2019-04-16
2019-08-22,Free Solo,2018,https://boxd.it/Ncf1N,4,,Ummmm.... what the fuck,,2019-08-21
2019-09-30,Call Me by Your Name,2017,https://boxd.it/PdTyd,5,,"Realism at its absolute best. But truthfully, <i>Call Me By Your Name </i>is much more than that. This film is nearly perfect. It is cinema at its best. Life at its best. Since my first viewing, moments and emotions have returned to me without warning. The waves of this cinema have continued to crash over me long after asking “Is it a video?”  
So nostalgic, so brief, so true. The fire flickers and a fly buzzes around the frame. Elio knows that his pain is certainly worth it. The pain now is worth experiencing the beauty that prevailed in the moment.",,2019-08-22
2019-10-21,The Forest of Love,2019,https://boxd.it/QvHev,4,,Hahahahahahahahhahabutwhatthefuckhahahahahhahahahhahahahah,,2019-10-20
2019-12-27,Uncut Gems,2019,https://boxd.it/UMLl1,5,,Is it bad that this makes me want to bet more?,,2019-12-26
2020-04-06,Stalker,1979,https://boxd.it/14i8xR,,,I’m going to sit with this for a while. Then I’ll give it a # of stars. Maybe I’ll even write a sentence.,,2020-04-06
2020-05-03,The Matrix Revolutions,2003,https://boxd.it/17AXYn,2.5,,Awesome action movie with horrendous dialogue and shallow philosophical musings,,2020-05-02
2020-09-29,The Adventuress,1950,https://boxd.it/1nrkwl,4,,I’d simp for Elena too,,2020-09-28
2022-04-03,Gwendoline,1984,https://boxd.it/2IEesv,,,This was playing on TVs at a bar last night 😳,,2022-04-02
