Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-11-13,Before Sunrise,1995,https://boxd.it/yLgEr,4.5,,,2018-11-12
2018-11-13,Before Sunset,2004,https://boxd.it/yLJYZ,4.5,,,2018-11-13
2018-11-20,American Honey,2016,https://boxd.it/z1ytX,5,,,2018-11-19
2018-11-29,Waltz with Bashir,2008,https://boxd.it/zpnRH,4,,,2018-11-28
2018-12-03,Frances Ha,2012,https://boxd.it/zyCXt,5,,,2018-12-02
2018-12-05,The Grand Budapest Hotel,2014,https://boxd.it/zFCox,4,,,2018-12-05
2019-01-17,"Sherlock, Jr.",1924,https://boxd.it/C6thJ,4,,,2019-01-16
2019-02-09,Palo Alto,2013,https://boxd.it/DsKQJ,3.5,,,2019-02-09
2019-03-16,Under the Skin,2013,https://boxd.it/FiKQx,4,,,2019-03-15
2019-03-18,Swiss Army Man,2016,https://boxd.it/Fp3Ed,4.5,,,2019-03-16
2019-03-21,Shadow of a Doubt,1943,https://boxd.it/FzpR9,4,,,2019-03-20
2019-04-02,"Synecdoche, New York",2008,https://boxd.it/Gaftl,5,Yes,,2019-03-30
2019-04-02,Badlands,1973,https://boxd.it/Gb1TV,4,,,2019-04-01
2019-04-03,Us,2019,https://boxd.it/GdZU9,4.5,,,2019-04-02
2019-04-04,The Fall,2006,https://boxd.it/GfGJF,4,,,2019-04-03
2019-04-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/GAp5v,4.5,,,2019-04-10
2019-04-15,The Rider,2017,https://boxd.it/GKW1h,4.5,,,2019-04-13
2019-04-16,Never Let Me Go,2010,https://boxd.it/GPu9x,3,,,2019-04-15
2019-04-24,mid90s,2018,https://boxd.it/Hbym5,3.5,,,2019-04-23
2019-05-02,Burning,2018,https://boxd.it/HBXb9,4,,,2019-05-02
2019-05-05,Cold War,2018,https://boxd.it/HL9Wp,4.5,,,2019-05-05
2019-05-25,The Perfection,2018,https://boxd.it/IG52h,1,,,2019-05-25
2019-05-30,Dogville,2003,https://boxd.it/IVTxz,2.5,,,2019-05-29
2019-05-30,Let the Right One In,2008,https://boxd.it/IWSe9,4,,,2019-05-30
2019-05-30,Kicking and Screaming,1995,https://boxd.it/IX8zx,3,,,2019-05-30
2019-06-05,The One I Love,2014,https://boxd.it/JePjL,4,,,2019-06-05
2019-07-28,Once Upon a Time… in Hollywood,2019,https://boxd.it/LSr7p,4,,,2019-07-27
2019-07-28,Three Colors: Blue,1993,https://boxd.it/LTkA7,4,,,2019-07-27
2019-08-03,Boy,2010,https://boxd.it/McPGt,4.5,,,2019-08-02
2019-08-14,First Man,2018,https://boxd.it/MNBq1,4,,,2019-08-13
2019-08-19,On Body and Soul,2017,https://boxd.it/N2W1L,4,,,2019-08-18
2019-08-19,On Body and Soul,2017,https://boxd.it/N3AAh,4,Yes,,2019-08-18
2019-08-19,Night Moves,2013,https://boxd.it/N4t0D,3,,,2019-08-19
2019-08-19,Thor: Ragnarok,2017,https://boxd.it/N4uF3,1.5,,,2019-08-19
2019-08-21,Wild Strawberries,1957,https://boxd.it/NaCtB,3.5,,,2019-08-20
