Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-12-28,10 Favorites of 2019,,https://boxd.it/4r6VI,"Ones I have not seen that may make the list:
 -Pain and glory"

Position,Name,Year,URL,Description
1,Waves,2019,https://boxd.it/jpmy,
2,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
3,Parasite,2019,https://boxd.it/hTha,
4,The Irishman,2019,https://boxd.it/dYOq,
5,Uncut Gems,2019,https://boxd.it/gXGc,
6,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,
7,The Mustang,2019,https://boxd.it/i4S2,
8,Marriage Story,2019,https://boxd.it/hJAw,
9,The Lighthouse,2019,https://boxd.it/icFU,
10,Joker,2019,https://boxd.it/h4cS,
