Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-03-18,Accessible Art ,,https://boxd.it/2JaDG,Modern art films that are easily accessible

Position,Name,Year,URL,Description
1,The Witch,2015,https://boxd.it/9X0m,
2,Uncut Gems,2019,https://boxd.it/gXGc,
3,It Comes at Night,2017,https://boxd.it/eLuk,
4,Magnolia,1999,https://boxd.it/2aze,
5,Drive,2011,https://boxd.it/IG,
6,There Will Be Blood,2007,https://boxd.it/20Z2,
7,The Wrestler,2008,https://boxd.it/1So8,
8,Annihilation,2018,https://boxd.it/9yzm,
9,Blue Valentine,2010,https://boxd.it/MxG,
10,Locke,2013,https://boxd.it/6hHC,
11,Good Time,2017,https://boxd.it/fcFu,
12,Raw,2016,https://boxd.it/dLd2,
13,Amélie,2001,https://boxd.it/2aUc,
14,Blade Runner 2049,2017,https://boxd.it/b8wK,
15,Burning,2018,https://boxd.it/hHUa,
16,The Florida Project,2017,https://boxd.it/dMG0,
17,Swiss Army Man,2016,https://boxd.it/bDG2,
18,Waves,2019,https://boxd.it/jpmy,
19,American Honey,2016,https://boxd.it/bk7C,
20,Moonlight,2016,https://boxd.it/d6bE,
21,Do the Right Thing,1989,https://boxd.it/29gA,
22,Call Me by Your Name,2017,https://boxd.it/dYmm,
23,Atlantics,2019,https://boxd.it/hVEK,
24,The Master,2012,https://boxd.it/2cBG,
25,Let the Right One In,2008,https://boxd.it/1Qr0,
26,Black Swan,2010,https://boxd.it/Sw0,
27,mother!,2017,https://boxd.it/dgRU,
28,Krisha,2015,https://boxd.it/ax4E,
29,Wind River,2017,https://boxd.it/dR3i,
30,Eighth Grade,2018,https://boxd.it/hDMG,
31,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
32,The Favourite,2018,https://boxd.it/d2hI,
33,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
34,If Beale Street Could Talk,2018,https://boxd.it/gGhu,
35,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
36,We the Animals,2018,https://boxd.it/hDPq,
37,Half Nelson,2006,https://boxd.it/20Ng,
38,Whiplash,2013,https://boxd.it/cJds,
39,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
40,Parasite,2019,https://boxd.it/hTha,
41,Moonrise Kingdom,2012,https://boxd.it/2Wng,
42,A Serious Man,2009,https://boxd.it/1RFW,
43,Hell or High Water,2016,https://boxd.it/bfGM,
44,The Rider,2017,https://boxd.it/gazw,
45,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
46,Marriage Story,2019,https://boxd.it/hJAw,
47,Maria Full of Grace,2004,https://boxd.it/2ao6,
48,Children of Men,2006,https://boxd.it/1Y2i,
49,The Graduate,1967,https://boxd.it/18Im,
50,Manhattan,1979,https://boxd.it/29Na,
51,Network,1976,https://boxd.it/1VqG,
52,Brawl in Cell Block 99,2017,https://boxd.it/dWOo,
