Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-11-14,Best Action Films,,https://boxd.it/2bgr4,"This list focuses on action films that place an emphasis on the spectacle of the action itself. 
(this list excludes all ""war films"")"

Position,Name,Year,URL,Description
1,The Raid 2,2014,https://boxd.it/5uz0,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
4,Die Hard,1988,https://boxd.it/2a7u,
5,The Raid,2011,https://boxd.it/3hBy,
6,The Bourne Supremacy,2004,https://boxd.it/26EE,
7,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
8,John Wick,2014,https://boxd.it/7dEc,
9,Taken,2008,https://boxd.it/1ZXa,
10,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,
