Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-11-14,Best Horror Films,,https://boxd.it/2bgwo,Yeah... these movies scare the shit out of me.

Position,Name,Year,URL,Description
1,A Clockwork Orange,1971,https://boxd.it/2aVE,
2,Requiem for a Dream,2000,https://boxd.it/29VI,
3,The Witch,2015,https://boxd.it/9X0m,
4,Detroit,2017,https://boxd.it/el3C,
5,Hereditary,2018,https://boxd.it/hNVe,
6,It Comes at Night,2017,https://boxd.it/eLuk,
7,Black Swan,2010,https://boxd.it/Sw0,
8,Gone Girl,2014,https://boxd.it/6hQu,
9,mother!,2017,https://boxd.it/dgRU,
10,Deliverance,1972,https://boxd.it/1VGk,
11,Alien,1979,https://boxd.it/2awY,
12,Krisha,2014,https://boxd.it/7F8S,
13,The Gift,2015,https://boxd.it/aJMy,
14,The Babadook,2014,https://boxd.it/77xu,
