Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-30,Favorite Trilogies,,https://boxd.it/57pv4,

Position,Name,Year,URL,Description
1,Three Colors: Blue,1993,https://boxd.it/2b7K,
2,Three Colors: White,1994,https://boxd.it/2b7A,
3,Three Colors: Red,1994,https://boxd.it/2b7q,
4,Before Sunrise,1995,https://boxd.it/2bcU,
5,Before Sunset,2004,https://boxd.it/2bcg,
6,Before Midnight,2013,https://boxd.it/4ive,
7,Batman Begins,2005,https://boxd.it/2aIg,
8,The Dark Knight,2008,https://boxd.it/2b0k,
9,The Dark Knight Rises,2012,https://boxd.it/H3m,
