Letterboxd list export v7
Date,Name,Tags,URL,Description
2019-03-18,Film is art,,https://boxd.it/2JaFi,Incredible films that are difficult to recommend

Position,Name,Year,URL,Description
1,"Synecdoche, New York",2008,https://boxd.it/23zw,
2,Under the Skin,2013,https://boxd.it/3mDa,I won’t pretend to understand this one
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,Mulholland Drive,2001,https://boxd.it/297o,
5,A Ghost Story,2017,https://boxd.it/fb0K,
6,A Clockwork Orange,1971,https://boxd.it/2aVE,
7,First Reformed,2017,https://boxd.it/go9C,
8,Anomalisa,2015,https://boxd.it/97TE,
9,Apocalypse Now,1979,https://boxd.it/6ZS,
10,The Fall,2006,https://boxd.it/1NoM,
11,The Tale,2018,https://boxd.it/cOkI,
12,The Handmaiden,2016,https://boxd.it/948A,
13,The Tree of Life,2011,https://boxd.it/1Zu8,
14,Cold War,2018,https://boxd.it/fEoc,
15,The Lighthouse,2019,https://boxd.it/icFU,
16,In the Mood for Love,2000,https://boxd.it/29tE,
17,Persona,1966,https://boxd.it/29B4,
18,Solaris,1972,https://boxd.it/2a2Y,
