Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-09,Watched during Pandemic ,,https://boxd.it/5tmYm,"All the movies I watched during Covid (including rewatches)
AKA: fast track to depression
OUTDATED
5 Stars:
     Solaris
     Portrait of a Lady on Fire
     Stalker
     La La Land (rewatch and bumped up)"

Position,Name,Year,URL,Description
1,Birds of Passage,2018,https://boxd.it/fyVu,
2,Solaris,1972,https://boxd.it/2a2Y,
3,Phantom Thread,2017,https://boxd.it/e4uc,
4,The Seventh Seal,1957,https://boxd.it/2ahO,
5,9,2009,https://boxd.it/1Scm,
6,The Platform,2019,https://boxd.it/mUm6,
7,Decalogue VI,1989,https://boxd.it/3WlQ,
8,Bullet in the Head,1990,https://boxd.it/1SNs,
9,Ju Dou,1990,https://boxd.it/YrK,
10,The Art of Self-Defense,2019,https://boxd.it/hf5y,
11,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
12,The Square,2017,https://boxd.it/e5YW,
13,Memories of Underdevelopment,1968,https://boxd.it/Kos,
14,Circle,2015,https://boxd.it/b5So,
15,Dogs,1992,https://boxd.it/1GGk,
16,Minority Report,2002,https://boxd.it/2aWi,
17,Akira,1988,https://boxd.it/2b1i,
18,Stalker,1979,https://boxd.it/28PO,
19,Funny Games,1997,https://boxd.it/1WKM,
20,Touki Bouki,1973,https://boxd.it/2H44,
21,Man on a Ledge,2012,https://boxd.it/FQm,
22,Border,2018,https://boxd.it/iMbG,
23,Parasite,2019,https://boxd.it/hTha,
24,In Darkness,2011,https://boxd.it/2w1o,
25,The Nightingale,2018,https://boxd.it/e1Ga,
26,The Last Wave,1977,https://boxd.it/2oOM,
27,Chungking Express,1994,https://boxd.it/1UDa,
28,Decalogue VIII,1989,https://boxd.it/C8m,
29,Ida,2013,https://boxd.it/6fRg,
30,House,1977,https://boxd.it/1vsm,
31,45 Years,2015,https://boxd.it/9ZPG,
32,Melancholia,2011,https://boxd.it/bPI,
33,Force Majeure,2014,https://boxd.it/7UcA,
34,The Host,2006,https://boxd.it/28ZY,
35,Certified Copy,2010,https://boxd.it/IMW,
36,Extraction,2020,https://boxd.it/jUjA,
37,Bad Education,2019,https://boxd.it/jiME,
38,Truth or Dare,2017,https://boxd.it/hftg,
39,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,
40,Molly's Game,2017,https://boxd.it/dSl8,
41,Blood Father,2016,https://boxd.it/9Wsu,
42,It Chapter Two,2019,https://boxd.it/h10u,
43,The Matrix Reloaded,2003,https://boxd.it/2a1c,
44,The Matrix Revolutions,2003,https://boxd.it/2a12,
45,Closer,2004,https://boxd.it/270K,
46,Dragged Across Concrete,2018,https://boxd.it/fAly,
47,Shutter Island,2010,https://boxd.it/1U82,
48,Mortal Kombat,1995,https://boxd.it/1YZY,
49,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
50,La La Land,2016,https://boxd.it/a5fa,
51,Jarhead,2005,https://boxd.it/70m,
