Date,Name,Year,Letterboxd URI,Rating
2018-09-27,The Godfather: Part II,1974,https://boxd.it/2aNq,5
2018-09-27,The Godfather,1972,https://boxd.it/2aNK,4
2018-11-12,"Dance, Girl, Dance",1940,https://boxd.it/1hvG,1.5
2018-11-12,A Quiet Place,2018,https://boxd.it/fVJQ,2.5
2018-11-12,The Florida Project,2017,https://boxd.it/dMG0,4.5
2018-11-12,The Witch,2015,https://boxd.it/9X0m,4.5
2018-11-12,22 July,2018,https://boxd.it/h10E,4
2018-11-12,Run Lola Run,1998,https://boxd.it/2b8o,2.5
2018-11-12,The Disaster Artist,2017,https://boxd.it/cTqc,3.5
2018-11-12,Casablanca,1942,https://boxd.it/2aG0,3
2018-11-12,Singin' in the Rain,1952,https://boxd.it/29oY,3
2018-11-12,The Fundamentals of Caring,2016,https://boxd.it/aiai,2.5
2018-11-12,Do the Right Thing,1989,https://boxd.it/29gA,4
2018-11-12,Blue Jay,2016,https://boxd.it/enEq,4
2018-11-12,The Shape of Water,2017,https://boxd.it/dZ5m,4
2018-11-12,Citizen Kane,1941,https://boxd.it/71O,3.5
2018-11-12,Avengers: Infinity War,2018,https://boxd.it/9vEe,3
2018-11-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2018-11-12,Interstellar,2014,https://boxd.it/4VZ8,5
2018-11-12,BlacKkKlansman,2018,https://boxd.it/hxL8,3
2018-11-12,The Game,1997,https://boxd.it/26vC,3.5
2018-11-12,Tusk,2014,https://boxd.it/7eoa,1.5
2018-11-12,A Serious Man,2009,https://boxd.it/1RFW,3.5
2018-11-12,L.A. Confidential,1997,https://boxd.it/27oC,3
2018-11-12,The Gift,2015,https://boxd.it/aJMy,3.5
2018-11-12,Going Clear: Scientology and the Prison of Belief,2015,https://boxd.it/ahPO,4.5
2018-11-12,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,3
2018-11-12,My Scientology Movie,2015,https://boxd.it/cedw,1.5
2018-11-12,Locke,2013,https://boxd.it/6hHC,3
2018-11-12,Enemy,2013,https://boxd.it/5xtO,3
2018-11-12,The Spectacular Now,2013,https://boxd.it/4VSG,4.5
2018-11-12,Blue Valentine,2010,https://boxd.it/MxG,5
2018-11-12,Super Dark Times,2017,https://boxd.it/dTle,3
2018-11-12,Maria Full of Grace,2004,https://boxd.it/2ao6,4
2018-11-12,Faces Places,2017,https://boxd.it/g7ck,3
2018-11-12,The Tale,2018,https://boxd.it/cOkI,4
2018-11-12,Calibre,2018,https://boxd.it/h0ru,2
2018-11-12,While We're Young,2014,https://boxd.it/7oOs,3
2018-11-12,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,2.5
2018-11-12,Magnolia,1999,https://boxd.it/2aze,3
2018-11-12,Face/Off,1997,https://boxd.it/29I0,1
2018-11-12,The Theory of Everything,2014,https://boxd.it/7YtA,3
2018-11-12,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy,4
2018-11-12,Deadpool 2,2018,https://boxd.it/dlLM,2.5
2018-11-12,The Greatest Showman,2017,https://boxd.it/acjI,2.5
2018-11-12,Easy A,2010,https://boxd.it/17DK,2
2018-11-12,Juno,2007,https://boxd.it/210a,4
2018-11-12,Take Your Pills,2018,https://boxd.it/i86w,0.5
