Date,Name,Year,Letterboxd URI
2018-09-27,The Godfather: Part II,1974,https://boxd.it/2aNq
2018-09-27,The Godfather,1972,https://boxd.it/2aNK
2018-11-12,"Dance, Girl, Dance",1940,https://boxd.it/1hvG
2018-11-12,A Quiet Place,2018,https://boxd.it/fVJQ
2018-11-12,The Florida Project,2017,https://boxd.it/dMG0
2018-11-12,The Witch,2015,https://boxd.it/9X0m
2018-11-12,22 July,2018,https://boxd.it/h10E
2018-11-12,Run Lola Run,1998,https://boxd.it/2b8o
2018-11-12,The Disaster Artist,2017,https://boxd.it/cTqc
2018-11-12,Casablanca,1942,https://boxd.it/2aG0
2018-11-12,Singin' in the Rain,1952,https://boxd.it/29oY
2018-11-12,The Fundamentals of Caring,2016,https://boxd.it/aiai
2018-11-12,Do the Right Thing,1989,https://boxd.it/29gA
2018-11-12,Blue Jay,2016,https://boxd.it/enEq
2018-11-12,The Shape of Water,2017,https://boxd.it/dZ5m
2018-11-12,Citizen Kane,1941,https://boxd.it/71O
2018-11-12,Avengers: Infinity War,2018,https://boxd.it/9vEe
2018-11-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2018-11-12,Interstellar,2014,https://boxd.it/4VZ8
2018-11-12,BlacKkKlansman,2018,https://boxd.it/hxL8
2018-11-12,The Game,1997,https://boxd.it/26vC
2018-11-12,Tusk,2014,https://boxd.it/7eoa
2018-11-12,A Serious Man,2009,https://boxd.it/1RFW
2018-11-12,L.A. Confidential,1997,https://boxd.it/27oC
2018-11-12,The Gift,2015,https://boxd.it/aJMy
2018-11-12,Going Clear: Scientology and the Prison of Belief,2015,https://boxd.it/ahPO
2018-11-12,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc
2018-11-12,My Scientology Movie,2015,https://boxd.it/cedw
2018-11-12,Locke,2013,https://boxd.it/6hHC
2018-11-12,Enemy,2013,https://boxd.it/5xtO
2018-11-12,The Spectacular Now,2013,https://boxd.it/4VSG
