Date,Name,Year,Letterboxd URI
2018-11-14,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://boxd.it/T18
2018-11-15,Excision,2012,https://boxd.it/2XMG
2018-11-15,Short Term 12,2013,https://boxd.it/5f6s
2018-11-15,Gummo,1997,https://boxd.it/1H0Y
2018-11-15,A Quiet Passion,2016,https://boxd.it/cMXe
2018-11-15,Wonderstruck,2017,https://boxd.it/dmG4
2018-11-15,The Beguiled,2017,https://boxd.it/dZ1k
2018-11-15,Thelma,2017,https://boxd.it/e7Ce
2018-11-15,Lady Macbeth,2016,https://boxd.it/erJk
2018-11-15,Foxtrot,2017,https://boxd.it/fOqC
2018-11-15,Sunset Song,2015,https://boxd.it/8t18
2018-11-15,A Bigger Splash,2015,https://boxd.it/azgs
2018-11-15,The Fits,2015,https://boxd.it/cacO
2018-11-15,"Girl, Interrupted",1999,https://boxd.it/25ds
2018-11-15,Breathe,2014,https://boxd.it/87L4
2018-11-15,Margaret,2011,https://boxd.it/2kbm
2018-11-15,Holy Motors,2012,https://boxd.it/3wai
2018-11-15,Amour,2012,https://boxd.it/34Q6
2018-11-15,Meek's Cutoff,2010,https://boxd.it/nsG
2018-11-15,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q
2018-11-15,Fish Tank,2009,https://boxd.it/1xBg
2018-11-15,Broken Flowers,2005,https://boxd.it/2aCW
2018-11-23,Dead Calm,1989,https://boxd.it/1W7K
2018-11-25,Ordinary People,1980,https://boxd.it/1JTm
2018-11-25,(500) Days of Summer,2009,https://boxd.it/1EmM
2018-11-30,Les Misérables,2012,https://boxd.it/2TT4
2018-12-01,Enemy at the Gates,2001,https://boxd.it/29s2
2018-12-01,The Deer Hunter,1978,https://boxd.it/1T6O
2018-12-01,Downfall,2004,https://boxd.it/2a04
2018-12-01,Das Boot,1981,https://boxd.it/2av2
2018-12-01,The Hunt for Red October,1990,https://boxd.it/28lk
2018-12-01,Killing Season,2013,https://boxd.it/2GNs
2018-12-05,The Apartment,1960,https://boxd.it/2aGE
2018-12-09,Let the Sunshine In,2017,https://boxd.it/fhr8
2018-12-09,Son of Saul,2015,https://boxd.it/b6r4
2018-12-09,Post Tenebras Lux,2012,https://boxd.it/3wTs
2018-12-11,Lost River,2014,https://boxd.it/5cjy
2018-12-17,Terms of Endearment,1983,https://boxd.it/1ULo
2018-12-17,Steel Magnolias,1989,https://boxd.it/1Vd8
2018-12-17,Like Water for Chocolate,1992,https://boxd.it/1Hq8
2018-12-17,Chocolat,2000,https://boxd.it/2aue
2018-12-17,Nebraska,2013,https://boxd.it/4exq
2018-12-17,12 Years a Slave,2013,https://boxd.it/2D2e
2018-12-28,Tender Mercies,1983,https://boxd.it/XGO
2018-12-31,Double Down,2005,https://boxd.it/7JOI
2018-12-31,I Am Here....Now,2009,https://boxd.it/3qjS
2018-12-31,Fateful Findings,2013,https://boxd.it/5X3C
2019-01-15,Starry Eyes,2014,https://boxd.it/7t3Q
2019-01-15,The Midnight Meat Train,2008,https://boxd.it/1WSw
2019-01-15,All About Lily Chou-Chou,2001,https://boxd.it/1JP0
2019-01-15,Inland Empire,2006,https://boxd.it/28d6
2019-01-15,I Origins,2014,https://boxd.it/7aRM
2019-01-15,Lost Highway,1997,https://boxd.it/29Wc
2019-01-15,The End of the Tour,2015,https://boxd.it/7jIE
2019-01-15,Altered States,1980,https://boxd.it/1TBi
2019-01-17,The Heiresses,2018,https://boxd.it/i1fw
2019-01-19,Paddington,2014,https://boxd.it/3RKw
2019-01-19,Paddington 2,2017,https://boxd.it/bCF8
2019-01-24,Close-Up,1990,https://boxd.it/1m9q
2019-01-24,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2019-01-24,Yi Yi,2000,https://boxd.it/1vCw
2019-01-25,Leaving Las Vegas,1995,https://boxd.it/2amE
2019-01-25,The Words,2012,https://boxd.it/2Wpw
2019-01-29,Pulse,2001,https://boxd.it/1s3y
2019-01-29,In the Mouth of Madness,1994,https://boxd.it/26vi
2019-01-29,Event Horizon,1997,https://boxd.it/20d8
2019-01-29,Wildlife,2018,https://boxd.it/eKYe
2019-02-02,The Wife,2017,https://boxd.it/bkzG
2019-02-13,Divine Love,2019,https://boxd.it/iegC
2019-02-13,Monos,2019,https://boxd.it/eJGe
2019-02-14,Madeline's Madeline,2018,https://boxd.it/gNmw
2019-02-14,Tommy,1975,https://boxd.it/1U7S
2019-02-16,Mirror,1975,https://boxd.it/28Q8
2019-02-16,The Sacrifice,1986,https://boxd.it/1xg8
2019-03-12,The Savages,2007,https://boxd.it/20ra
2019-03-15,Voyage of Time: Life's Journey,2016,https://boxd.it/34Sw
2019-03-15,Syndromes and a Century,2006,https://boxd.it/1qHQ
2019-03-18,Gemini,2017,https://boxd.it/ex2Q
2019-03-18,The Goldfinch,2019,https://boxd.it/gX6I
2019-03-20,What We Do in the Shadows,2014,https://boxd.it/7eQy
2019-03-24,Melvin Goes to Dinner,2003,https://boxd.it/1dtw
2019-03-24,My Dinner with Andre,1981,https://boxd.it/1vLe
2019-03-26,Grave of the Fireflies,1988,https://boxd.it/1RUM
2019-03-26,Rust and Bone,2012,https://boxd.it/3mDE
2019-03-26,Tyrannosaur,2011,https://boxd.it/2DUA
2019-03-26,Disobedience,2017,https://boxd.it/ePFG
2019-03-26,In Your Eyes,2014,https://boxd.it/6GMs
2019-03-26,Mary and Max,2009,https://boxd.it/1y2m
2019-03-26,Fallen Angels,1995,https://boxd.it/1UkW
2019-03-26,Secrets & Lies,1996,https://boxd.it/1UuC
2019-03-26,Nashville,1975,https://boxd.it/25GE
2019-03-26,Being There,1979,https://boxd.it/1WxS
2019-03-26,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2019-03-26,The New World,2005,https://boxd.it/1TVW
2019-03-26,Laurence Anyways,2012,https://boxd.it/3HQu
2019-03-26,BPM (Beats per Minute),2017,https://boxd.it/g796
2019-03-26,"Oslo, August 31st",2011,https://boxd.it/2xQC
2019-03-27,Audition,1999,https://boxd.it/1UHm
2019-03-27,The World's End,2013,https://boxd.it/3EiO
2019-03-27,Barry Lyndon,1975,https://boxd.it/25A2
2019-03-28,Padmaavat,2018,https://boxd.it/fkVq
2019-03-28,Antichrist,2009,https://boxd.it/1Inu
2019-03-28,Dancer in the Dark,2000,https://boxd.it/71E
2019-03-29,The Myth of the American Sleepover,2010,https://boxd.it/2t9u
2019-04-02,A Vigilante,2018,https://boxd.it/i4UM
2019-04-02,Domino,2019,https://boxd.it/ghha
